City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Ushuaia,AR,-54.8,-68.3,53.26,62,75,23.02,broken clouds
80,Hermanus,ZA,-34.4187,19.2345,66.79,91,37,7.38,scattered clouds
81,Camana,PE,-16.6228,-72.7111,73.08,84,94,6.33,moderate rain
82,Leh,IN,34.1667,77.5833,5.81,80,100,2.86,overcast clouds
83,Thanh Hoa,VN,19.8,105.7667,54.36,85,89,4.34,overcast clouds
84,Port Alfred,ZA,-33.5906,26.891,72.52,77,16,17.69,few clouds
85,Mount Isa,AU,-20.7333,139.5,80.37,39,22,10.36,few clouds
86,Ostrovnoy,RU,68.0531,39.5131,23.02,98,99,5.93,overcast clouds
87,Hobart,AU,-42.8794,147.3294,60.26,70,75,8.05,broken clouds
88,Xichang,CN,27.8964,102.2634,42.58,83,3,2.59,clear sky
89,Mandalgovi,MN,45.7625,106.2708,14.49,55,15,9.91,few clouds
90,New Norfolk,AU,-42.7826,147.0587,59.92,59,21,2.46,few clouds
91,Namibe,AO,-15.1961,12.1522,78.21,81,100,9.69,overcast clouds
92,Ketchikan,US,55.3422,-131.6461,42.78,75,100,17.27,overcast clouds
93,Mangrol,IN,21.1167,70.1167,69.58,70,1,9.26,clear sky
94,Alofi,NU,-19.0595,-169.9187,82.29,83,100,9.22,overcast clouds
95,Yellowknife,CA,62.456,-114.3525,5.56,61,0,16.11,clear sky
96,Keti Bandar,PK,24.1447,67.4497,71.91,66,0,11.27,clear sky
97,Nikolskoye,RU,59.7035,30.7861,34.39,95,100,16.15,light snow
98,Lansdale,US,40.2415,-75.2838,47.05,50,100,24.16,overcast clouds
99,Aksha,RU,50.2814,113.2867,-1.75,97,29,4.92,scattered clouds
100,Sur,OM,22.5667,59.5289,72.61,61,0,7.27,clear sky
101,Steamboat Springs,US,40.485,-106.8317,24.39,55,40,6.91,mist
102,Hami,CN,42.8,93.45,32.74,33,53,1.34,broken clouds
103,Dezful,IR,32.3811,48.4058,65.82,53,82,5.17,broken clouds
104,Sawakin,SD,19.1059,37.3321,70.21,61,4,11.32,clear sky
105,Albany,US,42.6001,-73.9662,31.48,68,90,4.0,overcast clouds
106,Vardo,NO,70.3705,31.1107,26.58,68,40,23.02,scattered clouds
107,Sola,VU,-13.8833,167.55,81.27,94,75,0.0,moderate rain
108,Hualmay,PE,-11.0964,-77.6139,74.12,78,91,10.29,overcast clouds
109,Hilo,US,19.7297,-155.09,80.33,66,40,6.91,scattered clouds
110,Plettenberg Bay,ZA,-34.0527,23.3716,69.78,91,99,4.14,overcast clouds
111,Kon Tum,VN,14.35,108.0,59.02,96,37,2.89,scattered clouds
112,Minab,IR,27.1467,57.0801,65.7,64,0,1.34,clear sky
113,Rikitea,PF,-23.1203,-134.9692,79.09,71,15,7.34,few clouds
114,Manggar,ID,-2.8833,108.2667,76.87,83,98,2.98,light rain
115,Antofagasta,CL,-23.65,-70.4,67.28,76,45,7.83,scattered clouds
116,Cidreira,BR,-30.1811,-50.2056,76.41,87,94,7.25,overcast clouds
117,Khotyn,UA,48.4833,26.5,41.22,75,97,10.69,overcast clouds
118,Ust-Kulom,RU,61.6864,53.6902,25.2,90,100,10.69,overcast clouds
119,Hovd,MN,48.0056,91.6419,0.59,80,71,3.09,broken clouds
120,Provideniya,RU,64.3833,-173.3,34.48,97,100,14.58,overcast clouds
121,Yerbogachen,RU,61.2767,108.0108,-7.4,96,100,3.89,overcast clouds
122,Port Elizabeth,ZA,-33.918,25.5701,71.1,83,0,11.5,clear sky
123,Kyzyl-Mazhalyk,RU,51.1333,90.6,-0.89,92,81,0.09,broken clouds
124,Udachnyy,RU,66.4167,112.4,-28.07,100,30,3.4,scattered clouds
125,Sherlovaya Gora,RU,50.5667,116.25,-10.17,100,58,2.89,broken clouds
126,Khatanga,RU,71.9667,102.5,-23.31,94,51,1.86,broken clouds
127,Aklavik,CA,68.2191,-135.0107,-13.0,70,0,0.0,clear sky
128,Lethem,GY,3.3803,-59.7968,86.05,70,20,13.8,few clouds
129,Bonthe,SL,7.5264,-12.505,77.97,87,89,7.52,overcast clouds
130,Norman Wells,CA,65.282,-126.8329,3.24,55,20,19.57,few clouds
131,Chokurdakh,RU,70.6333,147.9167,-15.43,100,100,2.42,overcast clouds
132,Xiaoweizhai,CN,26.1903,107.5125,45.63,93,100,2.19,overcast clouds
133,Cabo San Lucas,MX,22.8909,-109.9124,76.6,68,75,5.01,broken clouds
134,Coquimbo,CL,-29.9533,-71.3436,69.53,73,0,16.11,clear sky
135,Gorontalo,ID,0.5412,123.0595,72.88,95,99,4.34,overcast clouds
136,Asfi,MA,32.2994,-9.2372,60.19,95,17,8.61,few clouds
137,Chicama,PE,-7.8447,-79.1469,64.94,64,42,10.29,scattered clouds
138,Grand Gaube,MU,-20.0064,57.6608,79.2,90,78,12.59,broken clouds
139,Ancud,CL,-41.8697,-73.8203,57.22,88,79,15.46,light rain
140,Mapiri,BO,-15.25,-68.1667,75.2,94,100,1.07,overcast clouds
141,Sitka,US,57.0531,-135.33,44.49,53,100,19.57,overcast clouds
142,Bluff,NZ,-46.6,168.3333,56.8,55,47,14.88,scattered clouds
143,Cape Town,ZA,-33.9258,18.4232,68.41,84,0,17.27,clear sky
144,Rincon,US,32.296,-81.2354,85.96,44,0,13.8,clear sky
145,Iquique,CL,-20.2208,-70.1431,73.44,79,58,7.63,broken clouds
146,Illapel,CL,-31.6308,-71.1653,76.84,44,0,7.43,clear sky
147,Karratha,AU,-20.7377,116.8463,86.31,69,69,6.02,broken clouds
148,Port Lincoln,AU,-34.7333,135.8667,64.08,77,56,14.65,broken clouds
149,Coihaique,CL,-45.5752,-72.0662,61.41,72,75,9.22,light intensity shower rain
150,Georgetown,MY,5.4112,100.3354,78.73,92,40,8.05,scattered clouds
151,Sakaiminato,JP,35.55,133.2333,33.78,86,75,2.3,broken clouds
152,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,66,40,8.95,scattered clouds
153,Harper,LR,4.375,-7.7169,79.56,87,31,7.56,scattered clouds
154,Portland,US,45.5234,-122.6762,50.61,46,0,8.01,clear sky
155,Awallan,PH,17.9244,121.913,70.3,96,94,2.75,overcast clouds
156,Batagay-Alyta,RU,67.8006,130.4114,-2.42,97,100,7.56,light snow
157,Katherine,AU,-14.4667,132.2667,79.12,73,40,8.05,scattered clouds
158,Kolyvan,RU,55.3053,82.7391,28.02,94,100,8.05,overcast clouds
159,Lenger,KZ,42.183,69.8839,35.04,67,39,5.3,scattered clouds
160,Fortuna,US,40.5982,-124.1573,62.42,62,0,10.36,clear sky
161,Esperance,AU,-33.8667,121.9,75.04,56,99,9.19,overcast clouds
162,Mizdah,LY,31.4451,12.9801,55.36,32,82,3.58,broken clouds
163,Carnarvon,AU,-24.8667,113.6333,77.07,78,100,18.41,overcast clouds
164,Wynyard,AU,-41.0,145.7167,61.95,64,78,11.63,broken clouds
165,Mount Gambier,AU,-37.8333,140.7667,60.71,88,99,5.75,overcast clouds
166,Puerto Ayora,EC,-0.7393,-90.3518,87.76,72,54,10.63,broken clouds
167,Port Keats,AU,-14.25,129.55,76.08,92,100,20.02,light rain
168,Luderitz,NA,-26.6481,15.1594,68.34,78,0,21.5,clear sky
169,San Vicente,AR,-26.6167,-54.1333,70.0,99,99,1.86,light rain
170,Rawson,AR,-43.3002,-65.1023,72.55,41,26,2.89,scattered clouds
171,Kaitangata,NZ,-46.2817,169.8464,57.92,62,100,13.47,overcast clouds
172,Kamra,PK,33.7473,73.5111,40.95,88,100,6.15,overcast clouds
173,Piacabucu,BR,-10.4056,-36.4344,80.47,74,42,8.75,scattered clouds
174,Abu Zabad,SD,12.35,29.25,68.32,15,9,14.0,clear sky
175,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,4.61,scattered clouds
176,Saldanha,ZA,-33.0117,17.9442,66.25,91,1,19.66,clear sky
177,Bontang,ID,0.1333,117.5,75.56,89,93,7.99,overcast clouds
178,Rio Grande,BR,-32.035,-52.0986,89.71,90,0,12.86,clear sky
179,Isla Mujeres,MX,21.2311,-86.731,82.45,68,1,11.18,clear sky
180,North Bend,US,43.4065,-124.2243,60.24,68,0,10.36,clear sky
181,Ilulissat,GL,69.2167,-51.1,5.02,85,75,9.22,light shower snow
182,Klaksvik,FO,62.2266,-6.589,45.52,94,100,38.01,overcast clouds
183,Inverell,AU,-29.7833,151.1167,68.11,79,100,8.99,light rain
184,Nanhai,CN,30.1282,111.7784,44.22,81,58,1.63,broken clouds
185,Pirovskoye,RU,57.6267,92.2658,25.11,95,100,8.77,overcast clouds
186,Riyadh,SA,24.6877,46.7219,73.54,17,44,8.68,scattered clouds
187,Lebu,CL,-37.6167,-73.65,63.64,76,100,12.21,overcast clouds
188,Luanda,AO,-8.8368,13.2343,78.8,89,75,10.36,broken clouds
189,Deshnok,IN,27.7986,73.3447,67.95,27,0,4.63,clear sky
190,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,40,4.61,scattered clouds
191,Bayir,TR,37.2687,28.2167,39.72,93,18,5.14,few clouds
192,Morondava,MG,-20.2833,44.2833,79.72,78,90,6.64,overcast clouds
193,Namatanai,PG,-3.6667,152.4333,82.06,79,99,4.63,light rain
194,Henderson,US,36.0397,-114.9819,58.17,19,0,10.36,clear sky
195,Faya,SA,18.3851,42.4509,60.91,81,19,4.25,few clouds
196,Sinnamary,GF,5.3833,-52.95,77.11,90,89,14.29,overcast clouds
197,Koungou,YT,-12.7336,45.2042,80.31,83,0,4.61,clear sky
198,Kibaya,TZ,-5.3,36.5667,59.88,96,97,2.08,overcast clouds
199,Batticaloa,LK,7.7102,81.6924,78.87,79,15,8.84,few clouds
200,Westlock,CA,54.1502,-113.8688,34.16,81,8,11.43,clear sky
201,Nemuro,JP,43.3236,145.575,26.49,82,6,12.95,clear sky
202,Hasaki,JP,35.7333,140.8333,32.4,56,3,0.76,clear sky
203,Castro,BR,-24.7911,-50.0119,72.32,72,79,4.72,broken clouds
204,Atar,MR,20.5169,-13.0499,79.05,31,94,4.47,overcast clouds
205,Kirakira,SB,-10.4544,161.9205,83.62,78,100,9.64,overcast clouds
206,Marzuq,YE,14.4,46.4667,65.8,47,5,5.37,clear sky
207,Narasannapeta,IN,18.4167,84.05,69.51,72,1,2.08,clear sky
208,Inta,RU,66.0317,60.1659,26.29,89,100,21.41,overcast clouds
209,Saskylakh,RU,71.9167,114.0833,-22.85,100,25,4.07,scattered clouds
210,Syumsi,RU,57.1111,51.6149,13.95,99,84,4.61,broken clouds
211,Bambanglipuro,ID,-7.95,110.2833,75.72,90,98,5.06,overcast clouds
212,Inhambane,MZ,-23.865,35.3833,74.71,87,5,6.15,clear sky
213,Tasiilaq,GL,65.6145,-37.6368,26.47,70,100,51.32,overcast clouds
214,Haines Junction,CA,60.7522,-137.5108,39.15,56,100,6.91,overcast clouds
215,Lavrentiya,RU,65.5833,-171.0,33.73,97,100,12.97,overcast clouds
216,Codrington,AU,-38.2667,141.9667,66.15,73,100,11.88,overcast clouds
217,Cascais,PT,38.6979,-9.4215,63.05,46,24,15.01,few clouds
218,Anadyr,RU,64.75,177.4833,23.5,92,75,2.24,light snow
219,Airai,TL,-8.9266,125.4092,59.95,94,100,4.41,overcast clouds
220,Nome,US,64.5011,-165.4064,40.1,65,0,24.16,clear sky
221,Kavaratti,IN,10.5669,72.642,80.24,74,35,8.3,scattered clouds
222,Faanui,PF,-16.4833,-151.75,81.73,75,5,17.38,clear sky
223,Kviteseid,NO,59.4022,8.4927,18.93,90,15,5.93,few clouds
224,Prince Rupert,CA,54.3161,-130.3201,42.89,61,100,24.16,overcast clouds
225,Tiksi,RU,71.6872,128.8694,-6.72,98,100,7.94,overcast clouds
226,Bombay,IN,19.0144,72.8479,76.98,57,41,4.61,smoke
227,Lumeje,AO,-11.55,20.7833,62.64,97,13,3.83,few clouds
228,Fomboni,KM,-12.28,43.7425,82.67,76,88,8.99,overcast clouds
229,Tezu,IN,27.9167,96.1667,56.01,84,11,3.56,few clouds
230,Kodiak,US,57.79,-152.4072,40.51,81,100,16.11,moderate rain
231,Odlabari,IN,26.8333,88.6167,64.13,53,41,3.74,scattered clouds
232,Bonavista,CA,48.6499,-53.1147,23.11,48,58,16.15,broken clouds
233,Nushki,PK,29.5542,66.0215,53.47,28,2,4.79,clear sky
234,Santiago,CL,-33.4569,-70.6483,87.28,26,0,14.97,clear sky
235,Katsuura,JP,35.1333,140.3,42.19,60,1,8.88,clear sky
236,Ampanihy,MG,-24.7,44.75,71.42,88,100,2.51,overcast clouds
237,Port Hardy,CA,50.6996,-127.4199,44.76,65,75,17.27,broken clouds
238,Bredasdorp,ZA,-34.5322,20.0403,67.32,88,48,2.3,scattered clouds
239,Nanortalik,GL,60.1432,-45.2371,12.02,94,100,37.29,snow
240,Ust-Tsilma,RU,65.441,52.1498,29.75,90,100,9.55,overcast clouds
